age,job,marital,education,housing,loan,contact,month,day_of_week,duration,yes
31,technician,single,professional.course,no,no,cellular,nov,wed,220,no
55,technician,married,professional.course,no,no,cellular,nov,fri,182,no
31,admin.,single,university.degree,yes,no,cellular,nov,thu,230,no
30,admin.,single,high.school,yes,no,cellular,may,mon,158,yes
49,self-employed,divorced,unknown,no,no,cellular,apr,fri,660,no
32,self-employed,married,professional.course,no,no,telephone,jun,tue,129,no
33,admin.,single,university.degree,yes,yes,cellular,nov,tue,86,no
34,technician,single,professional.course,no,no,cellular,aug,wed,305,yes
34,admin.,single,university.degree,no,no,telephone,mar,tue,225,yes
25,services,single,high.school,yes,no,cellular,jul,fri,259,no
51,blue-collar,married,basic.4y,no,yes,cellular,jun,mon,325,yes
43,admin.,married,university.degree,yes,no,cellular,aug,wed,115,no
38,admin.,married,university.degree,no,no,cellular,aug,thu,30,no
40,services,single,high.school,no,no,telephone,jun,tue,420,no
30,services,single,high.school,no,no,cellular,may,thu,132,no
50,admin.,married,high.school,yes,no,telephone,jun,tue,285,no
38,admin.,divorced,university.degree,no,no,cellular,aug,mon,140,no
36,services,single,high.school,yes,no,cellular,jul,fri,862,yes
24,student,single,high.school,no,no,cellular,jul,tue,86,no
22,student,single,high.school,yes,no,cellular,may,tue,272,yes
53,management,married,university.degree,yes,no,cellular,nov,fri,319,no
37,blue-collar,married,basic.9y,yes,no,telephone,jun,fri,172,no
47,entrepreneur,divorced,high.school,no,no,cellular,may,thu,8,no
58,management,married,university.degree,no,no,telephone,jul,tue,55,no
45,unknown,married,unknown,no,yes,telephone,may,thu,62,no
32,management,married,university.degree,yes,no,cellular,aug,wed,78,no
50,admin.,married,basic.9y,unknown,unknown,cellular,may,thu,446,no
45,admin.,divorced,basic.9y,yes,no,cellular,nov,wed,575,no
44,services,single,high.school,no,no,cellular,apr,fri,276,no
50,admin.,married,high.school,no,no,telephone,jun,mon,205,no
31,technician,single,university.degree,yes,no,cellular,may,thu,259,no
25,technician,single,university.degree,yes,no,cellular,aug,fri,142,no
33,unemployed,married,basic.9y,no,no,telephone,jun,fri,11,no
50,technician,married,unknown,no,no,cellular,may,tue,95,no
39,admin.,married,high.school,yes,no,telephone,jul,wed,128,no
41,technician,married,professional.course,no,no,telephone,may,mon,677,no
35,admin.,married,university.degree,yes,no,cellular,aug,fri,494,no
31,housemaid,married,high.school,no,no,telephone,jun,tue,680,no
54,technician,married,basic.9y,no,no,telephone,may,thu,193,no
45,blue-collar,married,basic.9y,yes,no,cellular,apr,tue,269,no
28,blue-collar,married,basic.9y,no,yes,telephone,may,wed,109,no
33,entrepreneur,married,university.degree,yes,no,cellular,jul,mon,116,no
37,entrepreneur,single,university.degree,no,no,telephone,may,fri,180,no
35,self-employed,married,university.degree,yes,no,cellular,aug,thu,884,yes
31,management,married,university.degree,yes,no,cellular,oct,tue,255,yes
45,blue-collar,married,basic.6y,no,no,cellular,jul,fri,636,no
49,technician,married,professional.course,yes,no,cellular,jul,fri,190,no
45,technician,married,professional.course,yes,yes,cellular,jun,tue,191,no
41,admin.,married,university.degree,yes,no,cellular,may,mon,121,no
27,blue-collar,single,high.school,yes,no,cellular,jul,thu,185,no
50,unemployed,unknown,basic.9y,yes,yes,cellular,nov,thu,139,no
26,blue-collar,married,basic.6y,no,no,cellular,may,mon,84,no
36,management,married,university.degree,no,no,cellular,mar,thu,148,yes
31,technician,single,university.degree,yes,no,cellular,apr,thu,701,yes
22,student,single,unknown,yes,no,cellular,may,mon,171,yes
59,retired,unknown,university.degree,no,no,telephone,may,tue,253,no
48,services,single,basic.4y,yes,yes,cellular,may,thu,106,no
54,blue-collar,married,basic.4y,yes,no,cellular,aug,mon,56,no
39,technician,married,professional.course,yes,no,cellular,jul,thu,202,no
33,services,married,high.school,yes,yes,cellular,nov,wed,314,no
31,unemployed,divorced,unknown,yes,no,cellular,jun,fri,227,no
