ISIN,date,open,high,low,last,volume
FR0000045072,28/01/20,12.395,12.505,12.23,12.46,5557853
FR0000045072,29/01/20,12.52,12.58,12.38,12.435,4741326
FR0000045072,30/01/20,12.285,12.355,12.22,12.28,6180766
FR0000051732,28/01/20,77.64,77.74,76.38,77.3,431619
FR0000051732,29/01/20,77.64,78.34,77.34,77.76,383250
FR0000051732,30/01/20,76.78,77.0,75.56,75.92,341690
FR0000052292,28/01/20,682.0,688.8,674.4,686.6,83361
FR0000052292,29/01/20,687.2,695.2,683.8,690.0,63587
FR0000052292,30/01/20,682.0,688.2,677.4,677.4,78214
FR0000073272,28/01/20,144.5,144.85,142.4,144.5,594492
FR0000073272,29/01/20,144.4,150.7,143.8,150.05,1046752
FR0000073272,30/01/20,148.55,149.8,147.3,147.6,819016
FR0000120073,28/01/20,127.5,129.7,127.3,129.4,802144
FR0000120073,29/01/20,129.25,131.25,129.25,131.05,833287
FR0000120073,30/01/20,129.85,130.9,129.4,130.9,1202277
FR0000120172,28/01/20,15.285,15.735,15.15,15.675,3645812
FR0000120172,29/01/20,15.72,15.75,15.465,15.565,1982517
FR0000120172,30/01/20,15.48,15.565,15.33,15.555,1926014
FR0000120271,28/01/20,46.185,46.51,45.725,46.475,5423321
FR0000120271,29/01/20,46.5,46.62,46.0,46.18,4524756
FR0000120271,30/01/20,45.7,45.75,44.635,44.92,7604963
FR0000120321,28/01/20,259.5,261.7,256.6,261.6,574573
FR0000120321,29/01/20,261.0,264.0,260.5,262.3,432653
FR0000120321,30/01/20,261.0,261.9,258.0,259.6,506603
FR0000120404,28/01/20,37.05,37.42,36.59,37.27,1117370
FR0000120404,29/01/20,37.23,37.83,37.09,37.53,1292194
FR0000120404,30/01/20,37.1,37.28,36.77,37.28,1144538
FR0000120503,28/01/20,36.8,37.24,36.44,37.03,959243
FR0000120503,29/01/20,37.1,37.34,36.8,36.8,727140
FR0000120503,30/01/20,36.51,36.53,36.18,36.24,1384204
FR0000120578,28/01/20,87.31,88.08,86.91,87.67,1898014
FR0000120578,29/01/20,87.43,88.9,87.3,88.67,1970507
FR0000120578,30/01/20,88.0,88.06,87.24,87.86,2060287
FR0000120628,28/01/20,23.96,24.27,23.785,24.165,5453957
FR0000120628,29/01/20,24.14,24.35,24.1,24.23,4034654
FR0000120628,30/01/20,24.0,24.235,23.795,24.235,7624297
FR0000120644,28/01/20,72.92,73.36,72.66,73.18,1237458
FR0000120644,29/01/20,72.74,73.06,72.66,72.84,1164600
FR0000120644,30/01/20,72.5,72.82,72.22,72.5,1414504
FR0000120693,28/01/20,158.65,159.2,156.4,158.0,586634
FR0000120693,29/01/20,157.65,159.1,157.3,158.45,334878
FR0000120693,30/01/20,158.35,158.35,156.05,156.55,479252
FR0000121014,28/01/20,402.5,412.0,400.9,412.0,911017
FR0000121014,29/01/20,412.0,420.65,404.4,407.6,1050070
FR0000121014,30/01/20,400.05,404.9,397.5,398.9,919787
FR0000121220,28/01/20,98.1,99.78,98.1,99.1,542168
FR0000121220,29/01/20,99.06,99.1,97.42,97.8,376689
FR0000121220,30/01/20,94.5,95.24,94.14,94.7,308771
FR0000121261,28/01/20,104.55,106.85,104.15,106.15,612225
FR0000121261,29/01/20,106.15,108.9,106.0,108.0,539440
FR0000121261,30/01/20,106.45,107.45,105.55,106.55,457219
FR0000121329,28/01/20,98.24,98.66,97.84,98.2,232313
FR0000121329,29/01/20,98.12,99.32,97.7,99.2,258298
FR0000121329,30/01/20,98.5,99.14,98.26,98.92,250664
FR0000121485,28/01/20,555.0,561.8,545.6,561.8,303338
FR0000121485,29/01/20,559.9,570.8,555.9,568.0,285796
FR0000121485,30/01/20,556.9,565.0,555.2,561.2,279382
FR0000121501,28/01/20,18.9,19.135,18.595,19.13,3127241
FR0000121501,29/01/20,19.1,19.455,18.955,19.395,3423444
FR0000121501,30/01/20,19.095,19.235,18.955,19.125,3981557
FR0000121667,28/01/20,136.65,138.35,136.0,138.0,636134
