date,super95,gasoil,heating oil,fuel
10/02/20,507.47,570.36,484.29,383
03/02/20,516.64,578.69,496.43,416
27/01/20,527.47,592.03,518.49,437
20/01/20,534.14,597.86,537.22,452
13/01/20,542.47,607.86,552.09,477
06/01/20,538.31,607.86,566.12,451
16/12/19,529.97,589.53,547.8,410
09/12/19,544.97,598.69,544.65,384
02/12/19,542.47,594.53,545.64,384
25/11/19,539.14,593.69,541.53,384
18/11/19,538.31,596.19,545.04,384
11/11/19,543.31,594.53,543.23,384
04/11/19,534.14,592.03,542.23,384
28/10/19,534.14,594.53,544.58,379
21/10/19,533.31,592.03,548.93,384
14/10/19,539.14,595.36,554.76,391
07/10/19,546.64,598.69,557.33,385
30/09/19,543.31,603.69,570.45,385
23/09/19,564.14,616.19,578.94,384
16/09/19,544.14,590.36,565.99,357
09/09/19,544.97,587.86,547.66,349
02/09/19,534.14,574.53,540.94,349
26/08/19,539.14,573.69,540.52,337
19/08/19,537.47,570.36,537.53,324
12/08/19,545.81,573.69,529.59,347
05/08/19,561.64,588.69,547.68,395
29/07/19,559.14,585.36,549.44,389
22/07/19,561.64,583.69,544.59,406
15/07/19,568.31,597.03,556.03,410
08/07/19,564.14,596.19,542.35,401
01/07/19,551.64,586.19,551.54,393
24/06/19,544.97,579.53,546.52,377
17/06/19,559.14,587.86,531.76,377
10/06/19,562.47,587.86,530.69,390
03/06/19,594.14,621.19,558.27,390
27/05/19,600.81,631.19,570.5,402
20/05/19,594.97,631.19,589.89,403
13/05/19,586.64,627.03,579.07,403
06/05/19,579.97,622.03,580.22,415
29/04/19,583.31,628.69,579.51,424
15/04/19,565.81,617.03,568.91,413
08/04/19,543.31,608.69,563.64,413
01/04/19,526.64,602.03,550.88,399
25/03/19,509.97,594.53,551.64,405
18/03/19,512.47,597.03,556.39,405
11/03/19,508.31,598.69,560.39,399
04/03/19,497.47,602.86,558.87,399
25/02/19,504.14,600.36,556.35,405
18/02/19,488.31,589.53,551.61,390
11/02/19,479.14,582.03,538.19,378
04/02/19,473.31,572.03,535.45,366
28/01/19,480.81,573.69,533.99,366
21/01/19,479.97,600.36,530.94,351
14/01/19,480.81,571.19,527.23,344
07/01/19,483.31,569.53,514.94,313
17/12/18,516.64,606.19,539.69,359
10/12/18,541.64,627.86,554.64,371
03/12/18,574.97,660.36,564.04,371
26/11/18,598.31,683.69,600.72,396
19/11/18,600.81,686.19,640.02,429
12/11/18,604.14,689.53,655.33,429
05/11/18,614.14,692.86,657.09,450
29/10/18,610.81,691.19,664.87,450
22/10/18,615.81,693.69,655.4,450
15/10/18,619.97,689.53,651.51,463
08/10/18,618.31,680.36,645.31,455
01/10/18,613.31,657.03,617.15,423
24/09/18,612.47,652.86,596.66,417
17/09/18,609.97,652.03,601.34,417
10/09/18,603.31,645.36,600.18,416
03/09/18,598.31,632.03,589.54,410
27/08/18,587.47,619.53,577.45,410
20/08/18,588.31,617.03,567.63,410
13/08/18,584.97,612.03,566.86,415
06/08/18,580.81,610.36,560.18,421
30/07/18,575.81,613.69,563.72,415
