Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover
2CRSI,FR0013341781,2CRSI,Euronext Paris,EUR,4.76,4.82,4.42,4.52,22/01/20,CET,122723,564636.32
A.S.T. GROUPE,FR0000076887,ASP,Euronext Paris,EUR,3.61,3.66,3.605,3.635,22/01/20,CET,5126,18602.27
AB SCIENCE,FR0010557264,AB,Euronext Paris,EUR,7.02,7.2,6.83,6.98,22/01/20,CET,209354,1460857.39
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR,6.68,6.68,6.65,6.68,22/01/20,CET,14404,96082.72
ABEO,FR0013185857,ABEO,Euronext Paris,EUR,20.1,20.1,19.8,19.8,22/01/20,CET,771,15362.3
ABIONYX PHARMA,FR0012616852,ABNX,Euronext Paris,EUR,0.438,0.438,0.414,0.415,22/01/20,CET,56054,23775.67
ABIVAX,FR0012333284,ABVX,Euronext Paris,EUR,22.1,22.2,20.7,21.05,22/01/20,CET,24241,516916.05
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris,EUR,0.484,0.484,0.482,0.482,21/01/20,CET,7721,3732.14
ACCOR,FR0000120404,AC,Euronext Paris,EUR,38.89,39.04,38.59,38.59,22/01/20,CET,777505,30087597.6
ACCOR NV20,FR0013466885,ACNV,Euronext Paris,EUR,0,0,0,0,0,CET,0,0
ACTEOS,FR0000076861,EOS,Euronext Paris,EUR,1.88,1.92,1.82,1.9,22/01/20,CET,8724,16255.84
ACTIA GROUP,FR0000076655,ATI,Euronext Paris,EUR,4.5,4.5,4.46,4.48,22/01/20,CET,2498,11175.68
ADC SIIC,BE0974269012,ALDV,Euronext Paris,EUR,0.128,0.128,0.128,0.128,22/01/20,CET,8250,1056
ADL PARTNER,FR0000062978,ALP,Euronext Paris,EUR,14.1,14.1,13.95,14.05,22/01/20,CET,1377,19229.85
ADOCIA,FR0011184241,ADOC,Euronext Paris,EUR,11.78,13.42,11.7,13,22/01/20,CET,151907,1916112.66
ADP,FR0010340141,ADP,Euronext Paris,EUR,176.5,177.9,175.2,177,22/01/20,CET,77799,13760042.8
ADUX,FR0012821890,ADUX,Euronext Paris,EUR,1.48,1.49,1.425,1.475,22/01/20,CET,5522,8093.84
ADVENIS,FR0004152874,ADV,Euronext Paris,EUR,1.385,1.385,1.38,1.385,22/01/20,CET,331,456.95
ADVICENNE,FR0013296746,ADVIC,Euronext Paris Brussels,EUR,10.65,10.8,10.6,10.7,22/01/20,CET,775,8290.35
ADVINI,FR0000053043,ADVI,Euronext Paris,EUR,26.8,26.8,26.4,26.4,22/01/20,CET,49,1301
AERKOMM INC,US00774B2088,AKOM,Euronext Paris,EUR,32,32,31.1,31.1,22/01/20,CET,124,3953.9
AGTA RECORD,CH0008853209,AGTA,Euronext Paris,EUR,68.5,68.5,68.5,68.5,22/01/20,CET,516,35346
AIR FRANCE -KLM,FR0000031122,AF,Euronext Paris Amsterdam,EUR,9.23,9.358,9.06,9.218,22/01/20,CET,2670275,24674410.38
AIR LIQUIDE,FR0000120073,AI,Euronext Paris,EUR,129.85,130.2,129.25,129.55,22/01/20,CET,982980,127456908.85
AIRBUS,NL0000235190,AIR,Euronext Paris,EUR,137.4,139.32,137.14,137.98,22/01/20,CET,1191568,164873969.06
AKKA TECHNOLOGIES,FR0004180537,AKA,Euronext Paris Brussels,EUR,67.1,67.4,66.5,66.6,22/01/20,CET,11672,780503
AKWEL,FR0000053027,AKW,Euronext Paris,EUR,19.62,19.76,19.56,19.66,22/01/20,CET,3384,66432.28
ALBIOMA,FR0000060402,ABIO,Euronext Paris,EUR,30,30.35,29.5,29.65,22/01/20,CET,52144,1556220.35
ALD,FR0013258662,ALD,Euronext Paris,EUR,13.9,13.9,13.74,13.8,22/01/20,CET,26015,358916.48
ALPES (COMPAGNIE),FR0000053324,CDA,Euronext Paris,EUR,30.05,30.75,30.05,30.75,22/01/20,CET,23406,712071.05
ALPHA MOS,FR0013421286,ALM,Euronext Paris,EUR,1.1,1.1,1.1,1.1,22/01/20,CET,1287,1415.7
ALSTOM,FR0010220475,ALO,Euronext Paris,EUR,46,46.42,45.65,46.04,22/01/20,CET,1193198,54953076.32
ALTAMIR,FR0000053837,LTA,Euronext Paris,EUR,16.844,16.85,16.8,16.85,22/01/20,CET,575,9682.99
ALTAREA,FR0000033219,ALTA,Euronext Paris,EUR,205,208.5,205,206,22/01/20,CET,2437,504274.5
ALTAREIT,FR0000039216,AREIT,Euronext Paris,EUR,530,530,530,530,22/01/20,CET,8,4240
ALTEN,FR0000071946,ATE,Euronext Paris,EUR,116.2,117.2,116,116,22/01/20,CET,48546,5643355.6
ALTRAN TECHN.,FR0000034639,ALT,Euronext Paris,EUR,14.405,14.44,14.4,14.425,22/01/20,CET,540891,7799345.1
ALTUR INVEST.,FR0010395681,ALTUR,Euronext Paris,EUR,6.14,6.18,6.12,6.18,22/01/20,CET,3911,24088.3
AMOEBA,FR0011051598,AMEBA,Euronext Paris,EUR,0.709,0.72,0.65,0.7,22/01/20,CET,673839,464054.58
AMPLITUDE SURGICAL,FR0012789667,AMPLI,Euronext Paris,EUR,1.56,1.67,1.56,1.62,22/01/20,CET,63415,103344.65
AMUNDI,FR0004125920,AMUN,Euronext Paris,EUR,72.15,74.5,72.15,74.05,22/01/20,CET,244675,18042999.3
ANTALIS,FR0013258589,ANTA,Euronext Paris,EUR,0.714,0.728,0.686,0.686,22/01/20,CET,39220,27715.47
APERAM,LU0569974404,APAM,Euronext Amsterdam Brussels Paris,EUR,27.53,27.53,26.62,26.83,22/01/20,CET,187132,5023881.13
APRIL,FR0004037125,APR,Euronext Paris,EUR,21.9,22.3,21.9,21.9,22/01/20,CET,864,18993.2
ARCELORMITTAL SA,LU1598757687,MT,Euronext Amsterdam Paris,EUR,14.302,14.362,14.084,14.252,22/01/20,CET,4186288,59450235.65
ARCHOS,FR0000182479,JXR,Euronext Paris,EUR,0.0903,0.0953,0.0903,0.0931,22/01/20,CET,400265,37072.74
ARGAN,FR0010481960,ARG,Euronext Paris,EUR,78.4,79,77,77,22/01/20,CET,4197,327422.4
ARKEMA,FR0010313833,AKE,Euronext Paris,EUR,87.34,87.54,85.82,86.42,22/01/20,CET,297162,25677173.96
ARTEA,FR0012185536,ARTE,Euronext Paris,EUR,11.9,11.9,11.9,11.9,22/01/20,CET,1,11.9
ARTMARKET COM,FR0000074783,PRC,Euronext Paris,EUR,9.86,9.95,9.8,9.91,22/01/20,CET,10698,105877.53
ARTOIS NOM.,FR0000076952,ARTO,Euronext Paris,EUR,4200,4200,4160,4160,22/01/20,CET,3,12520
ASIT,BE0974289218,ASIT,Euronext Brussels Paris,EUR,0.239,0.239,0.1972,0.202,22/01/20,CET,535582,111136.46
ASSYSTEM,FR0000074148,ASY,Euronext Paris,EUR,34.2,34.6,33.9,34.3,22/01/20,CET,1603,55009.55
ATARI,FR0010478248,ATA,Euronext Paris,EUR,0.3188,0.3188,0.3134,0.3154,22/01/20,CET,303846,96038.29
ATEME,FR0011992700,ATEME,Euronext Paris,EUR,10.62,10.78,10.62,10.74,22/01/20,CET,3993,42748.1
ATOS,FR0000051732,ATO,Euronext Paris,EUR,78,78.3,77.5,77.86,22/01/20,CET,296386,23064298.58
ATOS NV20,FR0013465754,ATONV,Euronext Paris,EUR,0,0,0,0,0,CET,0,0
AUBAY,FR0000063737,AUB,Euronext Paris,EUR,32.25,33.1,32.15,32.75,22/01/20,CET,14386,470012
AUGROS COSMETICS,FR0000061780,AUGR,Euronext Paris,EUR,6.5,6.5,6.5,6.5,16/01/20,CET,2,13
AUREA,FR0000039232,AURE,Euronext Paris,EUR,6.5,6.6,6.5,6.54,22/01/20,CET,849,5554.68
AURES TECHNOLOGIES,FR0013183589,AURS,Euronext Paris,EUR,22.05,22.05,21.75,21.75,22/01/20,CET,344,7527.9
