date,tr,net_tr,financials
1/29/2010,271.07,72.9,190.92
2/1/2010,275.42,74.07,193.98
2/2/2010,278.5,74.89,196.15
2/3/2010,274.82,73.9,193.51
2/4/2010,263.44,70.84,185.48
2/5/2010,266.64,71.7,187.74
2/8/2010,260.76,70.12,183.6
2/9/2010,263.65,70.89,185.62
2/10/2010,265.86,71.48,187.15
2/11/2010,266.5,71.65,187.56
2/12/2010,265.74,71.45,187.02
2/16/2010,272.29,73.21,191.63
2/17/2010,273.35,73.49,192.36
2/18/2010,274.88,73.9,193.44
2/19/2010,276.54,74.35,194.6
2/22/2010,279.69,75.2,196.82
2/23/2010,274.7,73.85,193.31
2/24/2010,279.5,75.14,196.68
2/25/2010,278.59,74.9,196.03
2/26/2010,280.61,75.44,197.43
3/1/2010,281.65,75.72,198.16
3/2/2010,282.46,75.94,198.73
3/3/2010,282.62,75.98,198.83
3/4/2010,285.21,76.67,200.65
3/5/2010,291.01,78.23,204.73
3/8/2010,291.5,78.36,205.04
3/9/2010,292.3,78.58,205.6
3/10/2010,295.62,79.47,207.91
3/11/2010,298.36,80.2,209.8
3/12/2010,297.14,79.87,208.94
3/15/2010,296.93,79.81,208.78
3/16/2010,300.69,80.82,211.43
3/17/2010,304,81.71,213.74
3/18/2010,302.61,81.34,212.76
3/19/2010,300.37,80.73,211.19
3/22/2010,302.11,81.2,212.41
3/23/2010,304.43,81.82,214.04
3/24/2010,304.95,81.96,214.4
3/25/2010,306.26,82.32,215.32
3/26/2010,306.59,82.4,215.55
3/29/2010,307.22,82.57,215.96
3/30/2010,305.03,81.98,214.39
3/31/2010,305.56,82.12,214.75
4/1/2010,308.41,82.88,216.74
4/5/2010,311.49,83.71,218.9
4/6/2010,314.75,84.59,221.19
4/7/2010,313.09,84.14,220
4/8/2010,315.7,84.84,221.83
4/9/2010,317.11,85.22,222.82
4/12/2010,318.56,85.61,223.83
4/13/2010,318.56,85.61,223.83
4/14/2010,326.98,87.87,229.75
4/15/2010,325.4,87.44,228.64
4/16/2010,313,84.11,219.93
4/19/2010,316.45,85.04,222.35
4/20/2010,320.59,86.15,225.26
4/21/2010,318.86,85.69,224.05
4/22/2010,320.69,86.18,225.33
