date,tr,net_tr,growth
1/29/2010,1195.68,872.47,551.93
2/1/2010,1213.4,885.4,560.11
2/2/2010,1227.57,895.74,566.65
2/3/2010,1224.9,893.75,565.34
2/4/2010,1187.36,866.36,548
2/5/2010,1192.39,870.03,550.32
2/8/2010,1183.56,863.48,546.03
2/9/2010,1200.64,875.94,553.89
2/10/2010,1196.76,873.04,551.98
2/11/2010,1211.28,883.6,558.6
2/12/2010,1209.24,882.1,557.63
2/16/2010,1229.39,896.74,566.79
2/17/2010,1235.41,901.07,569.45
2/18/2010,1244.83,907.94,573.79
2/19/2010,1246.03,908.77,574.24
2/22/2010,1241.08,905.16,571.95
2/23/2010,1226.31,894.38,565.14
2/24/2010,1236.78,901.98,569.9
2/25/2010,1235.08,900.72,569.06
2/26/2010,1236.85,902,569.86
3/1/2010,1251.96,913.01,576.81
3/2/2010,1254.61,914.95,578.03
3/3/2010,1256.04,915.93,578.56
3/4/2010,1260.2,918.96,580.46
3/5/2010,1277.28,931.41,588.33
3/8/2010,1276.94,931.13,588.09
3/9/2010,1279.62,933.08,589.32
3/10/2010,1284.82,936.85,591.68
3/11/2010,1289.87,940.42,593.77
3/12/2010,1291.04,941.27,594.3
3/15/2010,1289.71,940.29,593.67
3/16/2010,1297.52,945.99,597.27
3/17/2010,1303.78,950.55,600.15
3/18/2010,1303.77,950.54,600.13
3/19/2010,1297.24,945.78,597.13
3/22/2010,1304.05,950.74,600.25
3/23/2010,1311.95,956.47,603.83
3/24/2010,1303.29,950.16,599.84
3/25/2010,1300.9,948.41,598.74
3/26/2010,1301.05,948.52,598.8
3/29/2010,1309.46,954.62,602.62
3/30/2010,1312.05,956.49,603.75
3/31/2010,1307.32,953.03,601.57
4/1/2010,1315.9,959.29,605.52
4/5/2010,1326.92,967.32,610.58
4/6/2010,1327.15,967.49,610.68
4/7/2010,1319.95,962.14,607.17
4/8/2010,1323.13,964.45,608.62
4/9/2010,1332.62,971.37,612.98
4/12/2010,1333.91,972.3,613.55
4/13/2010,1335.87,973.7,614.4
4/14/2010,1348.01,982.54,619.97
4/15/2010,1349.98,983.98,620.88
4/16/2010,1331.56,970.56,612.41
4/19/2010,1335.77,973.62,614.34
4/20/2010,1345.29,980.56,618.72
4/21/2010,1345.95,981.04,619.02
4/22/2010,1349.12,983.32,620.41
4/23/2010,1358.56,990.2,624.76
4/26/2010,1356.11,988.41,623.63
4/27/2010,1326.63,966.93,610.07
4/28/2010,1332.16,970.92,612.53
4/29/2010,1346.79,981.57,619.22
4/30/2010,1323.93,964.9,608.71
5/3/2010,1340.01,976.62,616.09
5/4/2010,1306.48,952.18,600.67
5/5/2010,1297.75,945.78,596.58
5/6/2010,1258.86,917.38,578.58
5/7/2010,1236.45,901.04,568.27
5/10/2010,1292.35,941.78,593.96
5/11/2010,1286.41,937.39,591.1
5/12/2010,1307.86,952.94,600.78
5/13/2010,1292.16,941.48,593.53
5/14/2010,1267.77,923.71,582.33
5/17/2010,1269,924.6,582.88
