date,tr,net_tr,industrials
1/29/2010,318.59,122.02,240.06
2/1/2010,323.22,123.8,243.54
2/2/2010,329.38,126.15,248.19
2/3/2010,328.32,125.73,247.29
2/4/2010,318.31,121.9,239.72
2/5/2010,316.53,121.21,238.37
2/8/2010,313.03,119.87,235.72
2/9/2010,318.43,121.94,239.79
2/10/2010,317.69,121.64,239.15
2/11/2010,322.54,123.48,242.68
2/12/2010,320.25,122.6,240.95
2/16/2010,327.4,125.34,246.32
2/17/2010,329.82,126.22,247.86
2/18/2010,333.1,127.48,250.33
2/19/2010,334.7,128.09,251.53
2/22/2010,334.89,128.16,251.67
2/23/2010,330.8,126.6,248.59
2/24/2010,333.95,127.79,250.89
2/25/2010,333.38,127.52,250.1
2/26/2010,334.64,128,251.04
3/1/2010,337.93,129.25,253.45
3/2/2010,338.86,129.6,254.14
3/3/2010,339.38,129.8,254.51
3/4/2010,340.82,130.35,255.59
3/5/2010,346.01,132.34,259.48
3/8/2010,344.36,131.7,258.25
3/9/2010,347.15,132.77,260.33
3/10/2010,348.41,133.25,261.27
3/11/2010,349.46,133.65,262.06
3/12/2010,351.95,134.61,263.93
3/15/2010,352.79,134.93,264.56
3/16/2010,356.95,136.52,267.68
3/17/2010,358.29,137.03,268.69
3/18/2010,360.88,138.02,270.62
3/19/2010,359.58,137.52,269.65
3/22/2010,360.38,137.83,270.25
3/23/2010,364.35,139.35,273.22
3/24/2010,362.32,138.57,271.7
3/25/2010,361.58,138.29,271.14
3/26/2010,362.67,138.71,271.96
3/29/2010,365.9,139.93,274.32
3/30/2010,366.62,140.2,274.84
3/31/2010,364.49,139.39,273.25
4/1/2010,366.66,140.22,274.84
4/5/2010,369.42,141.27,276.91
4/6/2010,369.44,141.28,276.92
4/7/2010,367.35,140.47,275.31
4/8/2010,368.58,140.94,276.23
4/9/2010,370.49,141.67,277.66
4/12/2010,371.63,142.1,278.51
4/13/2010,372.58,142.47,279.23
4/14/2010,377.25,144.26,282.73
4/15/2010,380.79,145.61,285.38
4/16/2010,374.56,143.23,280.71
4/19/2010,374.58,143.23,280.73
4/20/2010,377.33,144.29,282.79
4/21/2010,380.67,145.56,285.3
4/22/2010,383.29,146.56,287.2
4/23/2010,386,147.59,289.22
4/26/2010,386.93,147.95,289.92
4/27/2010,377,144.15,282.46
4/28/2010,380.11,145.34,284.8
4/29/2010,388.03,148.37,290.73
4/30/2010,379.63,145.15,284.43
5/3/2010,387.61,148.2,290.41
5/4/2010,374.85,143.33,280.85
5/5/2010,369.52,141.27,276.75
5/6/2010,357.11,136.52,267.43
5/7/2010,349.68,133.68,261.86
5/10/2010,369.53,141.27,276.73
5/11/2010,368.73,140.97,276.13
5/12/2010,376.36,143.85,281.66
5/13/2010,371.22,141.87,277.67
5/14/2010,363.29,138.84,271.74
5/17/2010,362.18,138.41,270.9
5/18/2010,357.39,136.57,267.24
5/19/2010,353.06,134.9,263.89
5/20/2010,337,128.76,251.89
5/21/2010,342.22,130.75,255.78
5/24/2010,336.78,128.68,251.72
5/25/2010,336.24,128.47,251.31
5/26/2010,337.22,128.83,251.96
5/27/2010,348.61,133.16,260.34
5/28/2010,343.45,131.19,256.48
6/1/2010,336.25,128.44,251.1
6/2/2010,344.63,131.64,257.34
6/3/2010,346.41,132.32,258.67
6/4/2010,330.55,126.26,246.83
6/7/2010,322.13,123.04,240.54
6/8/2010,325.35,124.27,242.95
