date,tr,net_tr,materials
1/29/2010,255.85,167.64,182.5
2/1/2010,265.22,173.78,189.19
2/2/2010,266.29,174.47,189.93
2/3/2010,263.74,172.8,188.09
2/4/2010,253.61,166.16,180.87
2/5/2010,258.02,169.05,184.01
2/8/2010,254.06,166.46,181.19
2/9/2010,260.43,170.63,185.73
2/10/2010,258.8,169.5,184.36
2/11/2010,262.91,172.18,187.25
2/12/2010,262.69,172.04,187.1
2/16/2010,269.17,176.29,191.72
2/17/2010,269.38,176.41,191.81
2/18/2010,272.52,178.46,194.05
2/19/2010,273.76,179.27,194.93
2/22/2010,272.48,178.44,194.02
2/23/2010,267.78,175.36,190.67
2/24/2010,267.55,175.21,190.49
2/25/2010,267.06,174.88,190.13
2/26/2010,267.16,174.95,190.2
3/1/2010,271.36,177.7,193.19
3/2/2010,274.04,179.45,195.1
3/3/2010,276.96,181.34,197.09
3/4/2010,277.66,181.79,197.58
3/5/2010,281.45,184.28,200.26
3/8/2010,281.08,184.03,200
3/9/2010,279.64,183.09,198.97
3/10/2010,279.54,183.01,198.86
3/11/2010,280.84,183.86,199.76
3/12/2010,282.53,184.96,200.97
3/15/2010,281.75,184.45,200.41
3/16/2010,286.06,187.27,203.47
3/17/2010,287.96,188.51,204.82
3/18/2010,285.94,187.19,203.39
3/19/2010,283.12,185.35,201.38
3/22/2010,286.79,187.75,203.98
3/23/2010,290.39,190.1,206.54
3/24/2010,289.51,189.53,205.92
3/25/2010,283.81,185.79,201.86
3/26/2010,286.04,187.25,203.45
3/29/2010,288.8,189.02,205.25
3/30/2010,289.41,189.4,205.62
3/31/2010,288.01,188.48,204.62
4/1/2010,293.19,191.87,208.31
4/5/2010,296.69,194.16,210.79
4/6/2010,297.36,194.61,211.27
4/7/2010,295.36,193.27,209.77
4/8/2010,296.16,193.8,210.34
4/9/2010,297.02,194.36,210.95
4/12/2010,295.6,193.43,209.94
4/13/2010,294.67,192.81,209.25
4/14/2010,296.61,194.08,210.62
4/15/2010,296.53,194.03,210.56
4/16/2010,291.29,190.6,206.85
4/19/2010,292,191.07,207.35
4/20/2010,292.52,191.4,207.72
4/21/2010,292.11,191.14,207.43
