Week ending,East Region,Midwest Region,Mountain Region,Pacific Region,South Central Region,total
01/01/2010,769,900,195,268,985,3117
08/01/2010,703,820,185,257,886,2850
15/01/2010,642,750,176,246,793,2607
22/01/2010,616,710,171,235,789,2521
29/01/2010,582,661,164,221,779,2406
05/02/2010,523,604,157,211,719,2214
12/02/2010,471,552,148,197,658,2026
19/02/2010,425,502,141,193,592,1853
26/02/2010,390,464,133,184,566,1738
05/03/2010,349,433,129,182,535,1627
12/03/2010,341,422,127,176,548,1614
19/03/2010,334,419,126,179,567,1626
26/03/2010,336,410,126,185,581,1638
02/04/2010,333,410,126,189,612,1670
09/04/2010,358,429,126,193,649,1754
16/04/2010,376,444,129,199,679,1828
23/04/2010,397,462,134,209,710,1912
30/04/2010,416,480,138,220,741,1994
07/05/2010,444,506,142,230,770,2091
14/05/2010,463,520,147,241,794,2165
21/05/2010,491,546,154,253,824,2268
28/05/2010,518,567,161,265,846,2357
04/06/2010,545,593,165,279,874,2456
11/06/2010,571,619,168,288,895,2542
18/06/2010,596,645,173,299,912,2625
25/06/2010,615,666,178,305,920,2684
02/07/2010,638,691,182,311,938,2761
09/07/2010,659,715,188,318,962,2841
16/07/2010,681,735,192,317,968,2893
23/07/2010,698,751,195,314,962,2919
30/07/2010,716,766,197,313,955,2947
06/08/2010,737,788,199,314,946,2984
13/08/2010,758,808,202,314,930,3013
20/08/2010,781,833,205,309,925,3054
27/08/2010,805,861,209,301,930,3105
03/09/2010,814,886,212,303,948,3163
10/09/2010,835,919,221,307,984,3267
17/09/2010,856,951,223,307,1005,3341
24/09/2010,876,979,227,309,1024,3415
01/10/2010,896,1011,230,307,1055,3499
08/10/2010,912,1039,232,313,1095,3590
15/10/2010,930,1071,233,317,1132,3683
22/10/2010,940,1096,236,321,1162,3754
29/10/2010,955,1120,235,323,1188,3821
05/11/2010,950,1124,236,327,1203,3840
12/11/2010,940,1126,236,326,1206,3834
19/11/2010,940,1115,234,329,1210,3828
26/11/2010,940,1100,227,313,1224,3805
03/12/2010,918,1071,222,298,1208,3717
10/12/2010,862,1017,216,293,1165,3553
17/12/2010,807,956,209,289,1108,3369
24/12/2010,756,904,201,284,1087,3232
31/12/2010,715,866,192,275,1050,3097
07/01/2011,684,817,181,248,1030,2960
14/01/2011,622,753,172,229,939,2716
21/01/2011,577,696,164,221,885,2543
28/01/2011,519,639,156,211,830,2355
04/02/2011,470,578,145,187,763,2144
11/02/2011,421,510,137,171,672,1910
18/02/2011,392,482,132,162,662,1831
25/02/2011,359,445,124,147,671,1745
04/03/2011,330,412,118,136,676,1672
11/03/2011,308,384,113,137,674,1616
18/03/2011,296,373,112,141,688,1611
25/03/2011,293,369,110,137,713,1622
01/04/2011,265,346,110,142,716,1578
08/04/2011,269,349,107,145,736,1606
15/04/2011,284,362,106,148,753,1654
22/04/2011,298,362,105,153,766,1685
29/04/2011,321,380,105,161,789,1757
06/05/2011,344,398,106,168,812,1827
13/05/2011,375,423,108,177,837,1919
20/05/2011,405,447,111,186,874,2023
27/05/2011,434,469,115,197,892,2107
03/06/2011,458,494,120,206,910,2188
10/06/2011,483,517,125,217,916,2257
17/06/2011,515,548,131,229,931,2354
24/06/2011,542,576,136,237,941,2432
01/07/2011,574,605,142,248,957,2526
08/07/2011,602,635,148,254,972,2611
15/07/2011,627,660,154,264,966,2671
22/07/2011,646,681,158,271,958,2714
29/07/2011,666,703,152,285,954,2759
05/08/2011,683,724,155,288,933,2783
12/08/2011,702,752,160,294,925,2833
19/08/2011,729,784,164,298,932,2906
26/08/2011,751,815,168,298,929,2960
02/09/2011,776,848,171,298,932,3025
09/09/2011,801,882,176,299,951,3110
16/09/2011,825,916,180,305,975,3201
23/09/2011,855,953,185,312,1007,3311
30/09/2011,879,990,189,319,1031,3408
07/10/2011,900,1023,194,330,1074,3521
14/10/2011,922,1059,196,337,1111,3624
21/10/2011,939,1086,198,342,1151,3717
28/10/2011,947,1109,200,348,1189,3793
04/11/2011,950,1122,201,353,1204,3830
11/11/2011,955,1123,201,353,1212,3844
18/11/2011,957,1122,203,356,1216,3853
25/11/2011,953,1108,204,357,1229,3850
02/12/2011,951,1093,203,359,1224,3830
09/12/2011,935,1061,195,342,1197,3729
16/12/2011,905,1028,191,324,1182,3628
23/12/2011,881,998,186,309,1173,3548
30/12/2011,853,964,183,308,1163,3471
06/01/2012,819,923,180,308,1147,3377
13/01/2012,791,890,174,301,1134,3290
20/01/2012,728,831,165,283,1090,3098
27/01/2012,682,778,160,278,1068,2966
03/02/2012,656,745,157,275,1056,2888
10/02/2012,616,702,152,272,1018,2761
17/02/2012,570,651,146,267,961,2595
24/02/2012,545,619,141,266,942,2513
02/03/2012,515,589,137,258,934,2433
09/03/2012,491,558,133,255,933,2369
16/03/2012,489,550,134,255,952,2380
23/03/2012,506,557,134,253,980,2429
30/03/2012,510,563,137,256,1006,2472
06/04/2012,515,564,137,261,1001,2478
13/04/2012,524,569,139,265,1006,2503
20/04/2012,546,587,139,270,1006,2546
27/04/2012,557,597,142,276,1005,2576
04/05/2012,571,607,144,283,1001,2606
11/05/2012,597,628,146,289,1008,2667
18/05/2012,621,648,148,300,1027,2744
25/05/2012,644,669,151,309,1042,2815
01/06/2012,663,689,155,318,1053,2877
08/06/2012,685,709,159,327,1063,2944
15/06/2012,704,727,162,335,1077,3006
22/06/2012,719,746,165,342,1091,3063
29/06/2012,738,764,169,353,1080,3102
06/07/2012,747,775,174,360,1079,3135
13/07/2012,756,789,178,360,1080,3163
20/07/2012,764,801,182,364,1079,3190
27/07/2012,775,820,185,364,1073,3217
03/08/2012,786,839,187,361,1067,3240
10/08/2012,796,858,189,354,1063,3261
17/08/2012,815,887,193,345,1068,3308
24/08/2012,836,913,196,345,1084,3374
31/08/2012,847,936,200,342,1077,3402
07/09/2012,857,964,204,341,1062,3429
14/09/2012,874,991,209,341,1082,3496
21/09/2012,892,1018,213,342,1111,3576
28/09/2012,908,1044,217,347,1137,3654
05/10/2012,926,1067,220,348,1164,3726
12/10/2012,936,1081,221,355,1182,3776
19/10/2012,945,1100,225,362,1210,3843
26/10/2012,960,1119,227,368,1233,3907
02/11/2012,960,1124,230,375,1240,3928
09/11/2012,942,1118,231,377,1242,3910
16/11/2012,935,1107,227,374,1230,3873
23/11/2012,927,1103,228,378,1241,3876
30/11/2012,902,1072,228,375,1228,3804
07/12/2012,900,1062,228,376,1240,3806
14/12/2012,884,1029,222,372,1216,3724
21/12/2012,868,1004,216,360,1206,3653
28/12/2012,829,959,207,352,1170,3517
04/01/2013,776,901,197,333,1111,3316
11/01/2013,736,855,190,316,1072,3167
18/01/2013,708,804,178,286,1020,2996
25/01/2013,651,732,172,274,973,2802
01/02/2013,608,688,165,269,954,2684
08/02/2013,549,631,159,266,921,2526
15/02/2013,512,590,153,259,887,2400
22/02/2013,458,534,146,252,838,2229
01/03/2013,424,493,139,247,780,2082
08/03/2013,377,448,136,245,732,1938
15/03/2013,357,422,132,248,717,1876
22/03/2013,324,382,127,248,700,1781
29/03/2013,302,356,122,248,659,1687
05/04/2013,295,347,123,256,654,1674
12/04/2013,310,351,120,258,666,1705
19/04/2013,329,354,117,258,676,1734
26/04/2013,344,356,118,262,697,1776
03/05/2013,376,376,118,268,728,1866
10/05/2013,408,399,120,278,760,1964
17/05/2013,433,419,122,285,792,2052
24/05/2013,461,445,127,294,815,2142
31/05/2013,491,473,132,304,852,2252
07/06/2013,520,500,137,313,877,2347
14/06/2013,551,529,140,321,898,2439
21/06/2013,578,560,144,330,922,2533
28/06/2013,599,586,148,336,936,2606
05/07/2013,622,616,152,334,963,2687
12/07/2013,634,641,154,337,979,2745
19/07/2013,642,658,157,337,990,2786
26/07/2013,661,684,160,340,1001,2845
02/08/2013,687,715,164,359,1015,2940
09/08/2013,708,745,168,366,1020,3007
16/08/2013,725,774,172,368,1024,3063
23/08/2013,743,805,177,365,1041,3131
30/08/2013,760,831,181,364,1052,3189
06/09/2013,778,861,184,362,1067,3253
13/09/2013,794,885,188,363,1069,3299
20/09/2013,817,917,192,366,1094,3385
27/09/2013,840,951,197,373,1126,3487
04/10/2013,861,980,202,378,1156,3577
11/10/2013,879,1008,205,383,1179,3655
18/10/2013,901,1036,208,384,1211,3741
25/10/2013,908,1046,211,385,1230,3779
01/11/2013,910,1054,213,386,1252,3816
08/11/2013,917,1057,214,384,1262,3834
15/11/2013,900,1042,215,383,1249,3789
22/11/2013,897,1031,214,378,1255,3775
29/11/2013,863,987,208,368,1188,3613
06/12/2013,843,961,200,350,1179,3533
13/12/2013,792,881,187,307,1082,3248
20/12/2013,737,821,182,291,1041,3071
27/12/2013,715,776,175,281,1028,2975
03/01/2014,672,721,169,269,986,2817
10/01/2014,606,638,159,246,881,2529
17/01/2014,580,598,153,236,857,2424
24/01/2014,525,528,145,220,765,2184
31/01/2014,459,452,136,202,674,1924
07/02/2014,417,390,124,169,593,1693
14/02/2014,356,323,115,147,504,1444
21/02/2014,317,284,109,139,500,1348
28/02/2014,280,239,101,117,459,1196
07/03/2014,231,194,94,103,381,1002
14/03/2014,213,176,91,103,369,953
21/03/2014,192,158,87,103,354,895
28/03/2014,167,138,85,102,332,824
04/04/2014,167,133,82,105,341,827
11/04/2014,169,137,81,113,351,850
18/04/2014,181,141,80,124,373,899
25/04/2014,198,158,82,135,408,981
02/05/2014,215,177,83,145,434,1055
09/05/2014,243,210,86,159,462,1160
16/05/2014,277,241,89,169,491,1267
23/05/2014,308,273,94,183,522,1380
30/05/2014,341,310,100,196,553,1499
06/06/2014,370,345,104,207,581,1607
13/06/2014,403,383,109,217,608,1719
20/06/2014,433,419,115,230,632,1829
27/06/2014,462,455,120,241,650,1928
04/07/2014,482,490,127,250,674,2023
11/07/2014,509,528,131,258,702,2128
18/07/2014,532,561,136,265,725,2219
25/07/2014,557,593,141,272,744,2307
01/08/2014,584,627,145,274,758,2388
08/08/2014,608,662,149,281,768,2467
15/08/2014,635,699,153,286,782,2555
22/08/2014,659,736,156,292,788,2631
29/08/2014,681,772,159,299,798,2709
05/09/2014,704,809,164,306,817,2801
12/09/2014,727,843,169,309,843,2890
19/09/2014,758,877,170,309,874,2988
26/09/2014,790,913,174,313,910,3099
03/10/2014,817,948,176,322,942,3205
10/10/2014,840,973,181,328,976,3298
17/10/2014,859,1002,184,335,1014,3393
24/10/2014,877,1024,187,340,1052,3480
31/10/2014,894,1051,189,346,1091,3571
07/11/2014,895,1057,191,349,1119,3611
14/11/2014,892,1050,184,349,1119,3594
21/11/2014,852,1001,177,337,1065,3432
28/11/2014,839,980,176,338,1076,3410
05/12/2014,819,951,173,333,1083,3359
12/12/2014,792,923,170,337,1073,3296
19/12/2014,776,902,165,332,1070,3246
26/12/2014,765,885,163,335,1072,3220
02/01/2015,737,849,152,312,1040,3089
09/01/2015,685,774,142,292,960,2854
16/01/2015,631,711,136,281,878,2637
23/01/2015,595,677,134,275,862,2543
30/01/2015,553,632,133,273,838,2428
06/02/2015,501,572,130,275,791,2268
13/02/2015,458,518,132,278,771,2158
20/02/2015,401,435,127,279,696,1938
27/02/2015,353,361,118,271,606,1709
06/03/2015,309,303,111,260,528,1511
13/03/2015,290,285,111,261,522,1468
20/03/2015,275,279,113,264,548,1479
27/03/2015,255,261,114,269,562,1461
03/04/2015,242,256,117,273,588,1476
10/04/2015,250,263,117,273,637,1539
17/04/2015,271,282,118,276,681,1628
24/04/2015,294,296,118,281,721,1711
01/05/2015,310,311,119,287,758,1785
08/05/2015,341,339,123,292,802,1897
15/05/2015,371,364,125,298,832,1989
22/05/2015,404,396,129,307,866,2101
29/05/2015,440,431,136,316,910,2233
05/06/2015,470,464,142,322,946,2344
12/06/2015,499,493,147,327,968,2433
19/06/2015,524,517,150,333,982,2506
26/06/2015,552,546,155,333,993,2579
03/07/2015,584,582,158,329,1013,2666
10/07/2015,609,612,164,334,1045,2764
17/07/2015,627,636,167,337,1056,2823
24/07/2015,643,659,171,340,1059,2872
31/07/2015,658,683,174,341,1054,2910
