Date,kitchen,laundry,water_and_ac
2006-12-16,0.0,546.0,4926.0
2006-12-17,2033.0,4187.0,13341.0
2006-12-18,1063.0,2621.0,14018.0
2006-12-19,839.0,7602.0,6197.0
2006-12-20,0.0,2648.0,14063.0
2006-12-21,1765.0,2623.0,10421.0
2006-12-22,3151.0,350.0,11131.0
2006-12-23,2669.0,425.0,14726.0
2006-12-24,1703.0,5082.0,6891.0
2006-12-25,6620.0,1962.0,5795.0
2006-12-26,1086.0,2533.0,14979.0
2006-12-27,0.0,314.0,6976.0
2006-12-28,2207.0,4419.0,9176.0
2006-12-29,1252.0,5162.0,11329.0
2006-12-30,3072.0,7891.0,12480.0
2006-12-31,0.0,347.0,6502.0
2007-01-01,0.0,352.0,5880.0
2007-01-02,1170.0,386.0,13145.0
2007-01-03,0.0,316.0,1980.0
2007-01-04,4629.0,5401.0,19509.0
2007-01-05,4005.0,995.0,8546.0
2007-01-06,0.0,483.0,7664.0
2007-01-07,969.0,736.0,4690.0
2007-01-08,1583.0,0.0,9812.0
2007-01-09,2497.0,569.0,9733.0
2007-01-10,1507.0,6622.0,5960.0
2007-01-11,0.0,293.0,1991.0
2007-01-12,9356.0,353.0,17847.0
2007-01-13,7806.0,2975.0,11341.0
2007-01-14,1777.0,4215.0,12975.0
2007-01-15,1099.0,2239.0,15163.0
2007-01-16,2063.0,644.0,6583.0
2007-01-17,3500.0,5737.0,16064.0
2007-01-18,0.0,336.0,13491.0
2007-01-19,2103.0,330.0,7172.0
2007-01-20,4324.0,5222.0,11440.0
2007-01-21,10346.0,5567.0,11599.0
2007-01-22,1054.0,2983.0,11361.0
2007-01-23,0.0,1064.0,5061.0
2007-01-24,3464.0,2480.0,11744.0
2007-01-25,1158.0,262.0,11239.0
2007-01-26,1163.0,261.0,8238.0
2007-01-27,1170.0,3896.0,12374.0
2007-01-28,3466.0,3997.0,12045.0
2007-01-29,1123.0,294.0,15254.0
2007-01-30,1123.0,1424.0,8149.0
2007-01-31,0.0,5950.0,15052.0
2007-02-01,0.0,348.0,6562.0
2007-02-02,0.0,356.0,11338.0
2007-02-03,0.0,340.0,1969.0
2007-02-04,1755.0,970.0,16641.0
2007-02-05,7.0,1490.0,3754.0
2007-02-06,3971.0,1250.0,7633.0
2007-02-07,1018.0,5281.0,3445.0
2007-02-08,482.0,0.0,6869.0
2007-02-09,3613.0,1617.0,8806.0
2007-02-10,508.0,8022.0,12815.0
2007-02-11,1346.0,2115.0,12245.0
2007-02-12,2090.0,6915.0,10636.0
2007-02-13,0.0,2828.0,6256.0
2007-02-14,3295.0,3793.0,11579.0
2007-02-15,0.0,2363.0,14028.0
2007-02-16,1148.0,859.0,8689.0
2007-02-17,1765.0,2226.0,7157.0
2007-02-18,6107.0,8003.0,13129.0
2007-02-19,1634.0,2900.0,13085.0
2007-02-20,2058.0,5191.0,9713.0
