date,tr,net_tr,snp500
1/29/2010,1771.4,1669.52,1073.87
2/1/2010,1796.67,1693.34,1089.19
2/2/2010,1819.99,1715.32,1103.32
2/3/2010,1810.64,1706.33,1097.28
2/4/2010,1754.3,1653.22,1063.11
2/5/2010,1759.38,1658.01,1066.19
2/8/2010,1744.37,1643.7,1056.74
2/9/2010,1767.18,1665.18,1070.52
2/10/2010,1763.69,1661.76,1068.13
2/11/2010,1781.01,1678,1078.47
2/12/2010,1776.5,1673.65,1075.51
2/16/2010,1808.72,1703.94,1094.87
2/17/2010,1816.7,1711.37,1099.51
2/18/2010,1828.81,1722.73,1106.75
2/19/2010,1833.09,1726.69,1109.17
2/22/2010,1831.21,1724.9,1108.01
2/23/2010,1809.05,1704.03,1094.6
2/24/2010,1826.99,1720.83,1105.24
2/25/2010,1823.64,1717.54,1102.94
2/26/2010,1826.27,1720,1104.49
3/1/2010,1844.87,1737.51,1115.71
3/2/2010,1849.17,1741.55,1118.31
3/3/2010,1850.24,1742.49,1118.79
3/4/2010,1857.2,1749.03,1122.97
3/5/2010,1883.28,1773.57,1138.7
3/8/2010,1883.29,1773.48,1138.5
3/9/2010,1886.6,1776.58,1140.45
3/10/2010,1895.38,1784.78,1145.61
3/11/2010,1903.68,1792.41,1150.24
3/12/2010,1903.29,1792.03,1149.99
3/15/2010,1904.19,1792.87,1150.51
3/16/2010,1919.02,1806.83,1159.46
3/17/2010,1930.22,1817.37,1166.21
3/18/2010,1929.63,1816.8,1165.83
3/19/2010,1919.8,1807.55,1159.9
3/22/2010,1929.64,1816.79,1165.81
3/23/2010,1943.7,1829.97,1174.17
3/24/2010,1933.04,1819.93,1167.72
3/25/2010,1929.75,1816.83,1165.73
3/26/2010,1931.18,1818.18,1166.59
3/29/2010,1942.51,1828.74,1173.22
3/30/2010,1942.81,1828.97,1173.27
3/31/2010,1936.48,1823,1169.43
4/1/2010,1950.91,1836.56,1178.1
4/5/2010,1966.44,1851.16,1187.44
4/6/2010,1969.76,1854.28,1189.44
4/7/2010,1959.04,1843.95,1182.45
4/8/2010,1965.72,1850.22,1186.44
4/9/2010,1978.86,1862.59,1194.37
4/12/2010,1982.4,1865.91,1196.48
4/13/2010,1983.91,1867.29,1197.3
4/14/2010,2006.06,1888.13,1210.65
4/15/2010,2007.74,1889.71,1211.67
4/16/2010,1975.36,1859.24,1192.13
4/19/2010,1984.32,1867.66,1197.52
4/20/2010,2000.33,1882.72,1207.17
4/21/2010,1998.31,1880.82,1205.94
4/22/2010,2002.93,1885.14,1208.67
4/23/2010,2017.19,1898.56,1217.28
4/26/2010,2008.55,1890.43,1212.05
4/27/2010,1961.6,1846.23,1183.71
4/28/2010,1974.63,1858.39,1191.36
4/29/2010,2000.34,1882.55,1206.78
4/30/2010,1967.05,1851.21,1186.69
5/3/2010,1992.87,1875.51,1202.26
5/4/2010,1945.37,1830.81,1173.6
5/5/2010,1933.25,1819.22,1165.9
5/6/2010,1870.95,1760.51,1128.15
5/7/2010,1842.32,1733.57,1110.88
5/10/2010,1923.39,1809.83,1159.73
5/11/2010,1917.25,1803.94,1155.79
5/12/2010,1944.25,1829.17,1171.67
