date,gross_tr,net_tr,level
1/29/2010,387.51,96.94,314.39
2/1/2010,391.77,98,317.84
2/2/2010,397.29,99.38,322.33
2/3/2010,396.08,99.08,321.34
2/4/2010,385.19,96.36,312.5
2/5/2010,387.22,96.86,314.15
2/8/2010,385.34,96.39,312.63
2/9/2010,390.19,97.6,316.55
2/10/2010,388.47,97.17,315.15
2/11/2010,392.9,98.28,318.73
2/12/2010,392.27,98.12,318.2
2/16/2010,398.02,99.56,322.85
2/17/2010,400.5,100.17,324.77
2/18/2010,403.08,100.82,326.87
2/19/2010,402.98,100.79,326.78
2/22/2010,402.82,100.75,326.66
2/23/2010,398.87,99.76,323.43
2/24/2010,404.09,101.07,327.66
2/25/2010,405.48,101.41,328.74
2/26/2010,407.05,101.8,330.02
3/1/2010,412.42,103.15,334.37
3/2/2010,412.08,103.06,334.1
3/3/2010,412.2,103.08,334.13
3/4/2010,413.82,103.49,335.44
3/5/2010,420.47,105.15,340.83
3/8/2010,421.08,105.3,341.26
3/9/2010,422.16,105.56,342.05
3/10/2010,424.07,106.04,343.59
3/11/2010,426.26,106.58,345.34
3/12/2010,426.68,106.69,345.69
3/15/2010,426.47,106.64,345.51
3/16/2010,428.92,107.25,347.5
3/17/2010,431.38,107.86,349.47
3/18/2010,431.37,107.86,349.46
3/19/2010,429.4,107.37,347.86
3/22/2010,433.94,108.5,351.53
3/23/2010,436.09,109.04,353.28
3/24/2010,434.72,108.7,352.16
3/25/2010,434.84,108.73,352.26
3/26/2010,435.6,108.92,352.88
3/29/2010,437.13,109.29,354.07
3/30/2010,438.64,109.67,355.26
3/31/2010,435.23,108.82,352.5
4/1/2010,437.33,109.34,354.2
4/5/2010,442.37,110.6,358.26
4/6/2010,442.97,110.75,358.74
4/7/2010,440.68,110.18,356.89
4/8/2010,443.42,110.86,359.11
4/9/2010,446.66,111.67,361.73
4/12/2010,447.44,111.87,362.36
4/13/2010,449.38,112.35,363.92
4/14/2010,456.9,114.23,370
4/15/2010,459.12,114.79,371.8
4/16/2010,448.15,112.04,362.91
4/19/2010,448.51,112.13,363.21
4/20/2010,452.59,113.15,366.51
4/21/2010,455.96,114,369.24
4/22/2010,460.36,115.09,372.8
4/23/2010,462.4,115.61,374.46
4/26/2010,461.43,115.36,373.67
4/27/2010,449.15,112.29,363.72
4/28/2010,449.89,112.48,364.32
4/29/2010,457.05,114.27,370.12
4/30/2010,444.87,111.22,360.25
5/3/2010,452.19,113.05,366.18
5/4/2010,438.39,109.6,354.99
5/5/2010,433.63,108.41,351.15
5/6/2010,418.69,104.68,339.05
5/7/2010,408.35,102.09,330.67
5/10/2010,431.71,107.93,349.59
5/11/2010,429.28,107.32,347.6
5/12/2010,438.54,109.64,355.09
5/13/2010,432.31,108.08,350.03
5/14/2010,421.99,105.5,341.67
5/17/2010,421.69,105.42,341.43
5/18/2010,413.79,103.43,334.87
5/19/2010,410.58,102.62,332.22
5/20/2010,394.33,98.56,319.07
5/21/2010,402,100.48,325.27
5/24/2010,399.03,99.74,322.86
5/25/2010,400.13,100.01,323.75
5/26/2010,397.37,99.32,321.49
5/27/2010,413.91,103.45,334.84
5/28/2010,409.09,102.24,330.94
6/1/2010,402.76,100.66,325.82
6/2/2010,412.63,103.13,333.8
6/3/2010,415.28,103.79,335.93
6/4/2010,400.46,100.09,323.94
6/7/2010,392.44,98.08,317.44
6/8/2010,394.2,98.52,318.87
6/9/2010,392.09,97.99,317.14
6/10/2010,403.67,100.89,326.5
6/11/2010,407.53,101.85,329.61
