date,tr,net_tr,snp_value
1/29/2010,2016.01,1070.05,513.83
2/1/2010,2043.67,1084.73,520.88
2/2/2010,2072.82,1100.2,528.31
2/3/2010,2056.13,1091.16,523.78
2/4/2010,1991.2,1056.69,507.22
2/5/2010,1994.32,1058.35,508.01
2/8/2010,1975.08,1048.06,502.98
2/9/2010,1998.23,1060.33,508.86
2/10/2010,1996.8,1059.48,508.34
2/11/2010,2011.8,1067.39,512.08
2/12/2010,2005.02,1063.68,510.17
2/16/2010,2044.33,1084.52,520.15
2/17/2010,2052.36,1088.73,522.12
2/18/2010,2064.08,1094.9,525.02
2/19/2010,2071.75,1098.92,526.9
2/22/2010,2075.68,1101,527.89
2/23/2010,2050.17,1087.47,521.4
2/24/2010,2073.28,1099.64,527.14
2/25/2010,2068.55,1097,525.72
2/26/2010,2071.55,1098.58,526.47
3/1/2010,2088.5,1107.55,530.75
3/2/2010,2093.8,1110.36,532.1
3/3/2010,2093.85,1110.36,532.07
3/4/2010,2102.66,1115.03,534.3
3/5/2010,2133.2,1131.2,542.03
3/8/2010,2133.78,1131.43,542.05
3/9/2010,2136.82,1133.01,542.77
3/10/2010,2148.03,1138.89,545.51
3/11/2010,2158.38,1144.28,547.99
3/12/2010,2155.56,1142.79,547.27
3/15/2010,2159.78,1145.02,548.34
3/16/2010,2180.32,1155.9,553.54
3/17/2010,2195.2,1163.78,557.31
3/18/2010,2193.89,1163.08,556.96
3/19/2010,2182.54,1157.07,554.08
3/22/2010,2193.44,1162.83,556.83
3/23/2010,2212.08,1172.66,561.48
3/24/2010,2202.37,1167.51,559.02
3/25/2010,2198.9,1165.68,558.14
3/26/2010,2201.88,1167.26,558.89
3/29/2010,2213.52,1173.33,561.69
3/30/2010,2209.92,1171.37,560.71
3/31/2010,2203.46,1167.94,559.06
4/1/2010,2221.8,1177.65,563.68
4/5/2010,2238.59,1186.52,567.9
4/6/2010,2245.68,1190.28,569.7
4/7/2010,2233.45,1183.6,566.29
4/8/2010,2243.23,1188.77,568.74
4/9/2010,2257.18,1196.16,572.27
4/12/2010,2263.01,1199.25,573.75
4/13/2010,2263.17,1199.31,573.76
4/14/2010,2293.03,1215.14,581.33
4/15/2010,2293.57,1215.42,581.46
4/16/2010,2251.03,1192.88,570.68
4/19/2010,2264.27,1199.88,574.02
4/20/2010,2284.61,1210.66,579.18
4/21/2010,2278.98,1207.67,577.74
4/22/2010,2284.15,1210.41,579.04
4/23/2010,2300.68,1219.17,583.23
4/26/2010,2285.25,1210.99,579.32
4/27/2010,2228.14,1180.72,564.83
4/28/2010,2248.38,1191.36,569.83
4/29/2010,2282.16,1209.23,578.34
4/30/2010,2244.92,1189.49,568.9
5/3/2010,2276.56,1206.26,576.92
5/4/2010,2224.92,1178.9,563.83
5/5/2010,2212.05,1171.89,560.27
5/6/2010,2135.89,1131.51,540.93
5/7/2010,2108.44,1116.97,533.98
5/10/2010,2198.74,1164.78,556.81
5/11/2010,2194.72,1162.59,555.69
5/12/2010,2220.1,1175.9,561.9
5/13/2010,2193.12,1161.58,555.03
5/14/2010,2152.07,1139.84,544.64
5/17/2010,2155.55,1141.57,545.34
5/18/2010,2121.7,1123.62,536.73
5/19/2010,2114.79,1119.91,534.91
5/20/2010,2029.43,1074.65,513.23
5/21/2010,2064.33,1093.13,522.05
5/24/2010,2031.79,1075.89,513.81
5/25/2010,2033.63,1076.86,514.27
5/26/2010,2026.38,1072.95,512.33
5/27/2010,2094.41,1108.84,529.31
5/28/2010,2067.06,1094.35,522.39
6/1/2010,2029.84,1074.62,512.94
6/2/2010,2082.09,1102.25,526.09
6/3/2010,2085.51,1104.05,526.94
6/4/2010,2012.66,1065.47,508.51
6/7/2010,1984.23,1050.39,501.29
6/8/2010,2009.71,1063.82,507.63
6/9/2010,1999.03,1058.15,504.9
6/10/2010,2057.68,1089.19,519.71
6/11/2010,2063.43,1092.15,521.02
6/14/2010,2058.65,1089.61,519.8
6/15/2010,2105.45,1114.37,531.61
6/16/2010,2101.55,1112.3,530.61
6/17/2010,2105.08,1114.09,531.38
6/18/2010,2108.35,1115.82,532.2
6/21/2010,2101.09,1111.98,530.36
6/22/2010,2065.48,1093.08,521.29
6/23/2010,2058.97,1089.61,519.62
6/24/2010,2022.91,1070.53,510.52
6/25/2010,2032.45,1075.58,512.93
6/28/2010,2029.16,1073.74,511.95
6/29/2010,1968.37,1041.56,496.58
6/30/2010,1948.52,1031.02,491.52
7/1/2010,1940.21,1026.6,489.38
7/2/2010,1929.1,1020.7,486.55
7/6/2010,1939.92,1026.42,489.28
7/7/2010,2001.87,1059.01,504.6
7/8/2010,2020.91,1069.07,509.37
7/9/2010,2037.96,1078.08,513.67
7/12/2010,2039.19,1078.73,513.97
7/13/2010,2075.1,1097.71,522.99
7/14/2010,2070.06,1095.04,521.72
7/15/2010,2072.75,1096.47,522.4
7/16/2010,2009.76,1063.14,506.52
7/19/2010,2020.73,1068.94,509.27
7/20/2010,2041.23,1079.77,514.42
7/21/2010,2014.44,1065.55,507.58
7/22/2010,2060.57,1089.94,519.2
7/23/2010,2078.27,1099.3,523.65
7/26/2010,2106.8,1114.39,530.84
7/27/2010,2108.18,1115.11,531.18
7/28/2010,2093.28,1107.2,527.38
7/29/2010,2085.94,1103.23,525.39
7/30/2010,2086.54,1103.55,525.54
8/2/2010,2132.63,1127.93,537.15
8/3/2010,2121.16,1121.86,534.26
8/4/2010,2131.28,1127.02,536.51
8/5/2010,2128.93,1125.77,535.9
8/6/2010,2120.49,1121.29,533.75
8/9/2010,2131.27,1126.98,536.45
8/10/2010,2118.51,1120.23,533.22
8/11/2010,2057.26,1087.64,517.5
8/12/2010,2051.08,1084.32,515.86
8/13/2010,2044.28,1080.72,514.14
8/16/2010,2043.14,1080.09,513.81
8/17/2010,2065.65,1091.88,519.29
8/18/2010,2069.95,1094.12,520.32
8/19/2010,2031.22,1073.65,510.58
8/20/2010,2022.53,1069.05,508.39
8/23/2010,2016.77,1066,506.94
8/24/2010,1990.28,1051.99,500.27
8/25/2010,1996.14,1055.05,501.68
8/26/2010,1981.87,1047.5,498.07
8/27/2010,2016.17,1065.53,506.54
8/30/2010,1984.27,1048.6,498.42
8/31/2010,1988.99,1051.07,499.56
9/1/2010,2049.97,1083.28,514.86
9/2/2010,2068.79,1093.19,519.53
9/3/2010,2095.22,1107.15,526.16
9/7/2010,2066.16,1091.77,518.81
9/8/2010,2079.77,1098.87,522.08
9/9/2010,2094.46,1106.62,525.77
9/10/2010,2102.93,1111.09,527.88
9/13/2010,2127.03,1123.73,533.79
9/14/2010,2121.59,1120.86,532.42
9/15/2010,2127.95,1124.21,534
9/16/2010,2124.38,1122.22,532.95
9/17/2010,2121.55,1120.73,532.24
9/20/2010,2155.67,1138.74,540.78
9/21/2010,2148.07,1134.72,538.86
9/22/2010,2135.12,1127.83,535.54
9/23/2010,2111.42,1115.31,529.59
9/24/2010,2157.42,1139.61,541.13
9/27/2010,2142.84,1131.9,537.46
9/28/2010,2155.37,1138.42,540.45
9/29/2010,2147.53,1134.23,538.4
9/30/2010,2142.96,1131.81,537.25
10/1/2010,2155.48,1138.41,540.37
10/4/2010,2140.61,1130.53,536.59
10/5/2010,2184.98,1153.96,547.71
10/6/2010,2187.65,1155.16,548.05
10/7/2010,2184.62,1153.56,547.29
10/8/2010,2194.69,1158.87,549.81
10/11/2010,2195.06,1159.07,549.9
10/12/2010,2203.48,1163.51,552.01
10/13/2010,2213.1,1168.56,554.37
10/14/2010,2198.89,1161.06,550.81
10/15/2010,2186.96,1154.76,547.82
10/18/2010,2207.31,1165.5,552.9
10/19/2010,2175.33,1148.61,544.89
10/20/2010,2200.47,1161.82,551.09
10/21/2010,2203.13,1163.22,551.75
10/22/2010,2204.71,1164.06,552.15
10/25/2010,2207.04,1165.29,552.73
10/26/2010,2205.99,1164.73,552.46
10/27/2010,2198.24,1160.55,550.39
10/28/2010,2202.29,1162.65,551.33
10/29/2010,2198.45,1160.62,550.37
11/1/2010,2196.61,1159.65,549.91
11/2/2010,2208.49,1165.92,552.88
11/3/2010,2220.53,1172.19,555.76
11/4/2010,2267.8,1197.03,567.42
11/5/2010,2282.89,1204.96,571.13
11/8/2010,2275.29,1200.91,569.18
11/9/2010,2252.8,1188.91,563.34
11/10/2010,2263.69,1194.58,565.94
11/11/2010,2255.79,1190.41,563.96
11/12/2010,2233.78,1178.78,558.44
11/15/2010,2234.07,1178.9,558.46
11/16/2010,2200.54,1161.1,549.91
11/17/2010,2197.54,1159.48,549.09
11/18/2010,2227.38,1175.21,556.54
11/19/2010,2230.99,1177.1,557.42
11/22/2010,2220.42,1171.52,554.76
11/23/2010,2189.4,1155.13,546.98
11/24/2010,2217.87,1170.12,554.05
11/26/2010,2200.38,1160.8,549.52
11/29/2010,2200.57,1160.82,549.45
11/30/2010,2188.27,1154.3,546.33
12/1/2010,2235.85,1179.36,558.15
12/2/2010,2268.89,1196.79,566.4
12/3/2010,2274.82,1199.89,567.84
12/6/2010,2271.09,1197.91,566.89
12/7/2010,2276.06,1200.52,568.11
12/8/2010,2288.94,1207.19,571.12
12/9/2010,2303.72,1214.92,574.71
12/10/2010,2320.31,1223.67,578.85
12/13/2010,2320.23,1223.57,578.75
12/14/2010,2322.11,1224.56,579.2
12/15/2010,2307.94,1217.08,575.66
12/16/2010,2324.79,1225.95,579.84
12/17/2010,2325.7,1226.43,580.07
12/20/2010,2331.7,1229.58,581.55
12/21/2010,2350.01,1239.21,586.07
12/22/2010,2365,1247.01,589.64
12/23/2010,2361.53,1245.14,588.72
12/27/2010,2365.9,1247.44,589.8
12/28/2010,2370.15,1249.69,590.86
12/29/2010,2370.36,1249.71,590.78
12/30/2010,2366.87,1247.86,589.89
12/31/2010,2368.21,1248.57,590.22
1/3/2011,2399.57,1265.09,598.03
1/4/2011,2402.48,1266.61,598.73
1/5/2011,2414.94,1273.13,601.76
1/6/2011,2409.14,1269.9,600.03
1/7/2011,2403.66,1267.01,598.67
1/10/2011,2398.45,1264.26,597.37
1/11/2011,2409.67,1270.17,600.17
1/12/2011,2435.08,1283.56,606.48
1/13/2011,2429.52,1280.63,605.1
1/14/2011,2452.3,1292.63,610.75
1/18/2011,2450.82,1291.84,610.37
1/19/2011,2421.29,1276.21,602.92
1/20/2011,2424.83,1278.08,603.8
