date,AMZN,FB,AAPL,GOOGL,MSFT
2015-01-02,308.519989,78.449997,109.330002,529.549988,46.759998
2015-01-05,302.190002,77.190002,106.25,519.460022,46.330002
2015-01-06,295.290009,76.150002,106.260002,506.64001500000006,45.650002
2015-01-07,298.420013,76.150002,107.75,505.14999400000005,46.23
2015-01-08,300.459991,78.18,111.889999,506.910004,47.59
2015-01-09,296.929993,77.739998,112.010002,500.720001,47.189999
2015-01-12,291.410004,76.720001,109.25,497.05999800000006,46.599998
2015-01-13,294.73999,76.449997,110.220001,501.799988,46.360001
2015-01-14,293.269989,76.279999,109.800003,505.929993,45.959999
2015-01-15,286.950012,74.050003,106.82,504.01001,45.48
2015-01-16,290.73999,75.18,105.989998,510.459991,46.240002
2015-01-20,289.440002,76.239998,108.720001,509.940002,46.389999
2015-01-21,297.25,76.739998,109.550003,520.3900150000002,45.919998
2015-01-22,310.320007,77.650002,112.400002,537.299988,47.130001
2015-01-23,312.390015,77.83000200000002,112.980003,541.950012,47.18
2015-01-26,309.660004,77.5,113.099998,536.719971,47.009998
2015-01-27,306.75,75.779999,109.139999,521.1900019999998,42.66
2015-01-28,303.910004,76.239998,115.309998,512.429993,41.189999
2015-01-29,311.7799990000001,78.0,118.900002,513.22998,42.009998
2015-01-30,354.5299990000001,75.910004,117.160004,537.549988,40.400002
2015-02-02,364.470001,74.989998,118.629997,532.200012,41.279999
2015-02-03,363.549988,75.400002,118.650002,533.299988,41.599998
2015-02-04,364.75,75.629997,119.559998,526.099976,41.84
2015-02-05,373.890015,75.610001,119.940002,529.830017,42.450001
2015-02-06,374.279999,74.470001,118.93,533.880005,42.41
2015-02-09,370.559998,74.440002,119.720001,529.280029,42.360001
2015-02-10,373.0,75.190002,122.019997,540.159973,42.599998
2015-02-11,375.140015,76.510002,124.879997,538.0,42.380001
2015-02-12,377.170013,76.230003,126.459999,546.01001,43.09
2015-02-13,381.829987,75.739998,127.080002,551.159973,43.869999
2015-02-17,375.429993,75.599998,127.830002,545.01001,43.580002
2015-02-18,373.369995,76.709999,128.720001,542.650024,43.529999
2015-02-19,379.0,79.41999799999998,128.449997,546.450012,43.5
2015-02-20,383.660004,79.900002,129.5,541.799988,43.860001
2015-02-23,380.140015,78.839996,133.0,535.0,44.150002
2015-02-24,378.589996,78.449997,132.169998,538.650024,44.09
2015-02-25,385.369995,79.559998,128.78999299999998,547.330017,43.990002
2015-02-26,384.799988,80.410004,130.419998,559.289978,44.060001
2015-02-27,380.160004,78.970001,128.46000700000002,562.630005,43.849998
