date,tr,net_tr,utilities
1/29/2010,279.31,122.76,149.93
2/1/2010,281.38,123.67,151.04
2/2/2010,283.7,124.69,152.29
2/3/2010,281.7,123.8,151.14
2/4/2010,274.29,120.53,147.15
2/5/2010,273.55,120.21,146.75
2/8/2010,270.67,118.92,145.12
2/9/2010,273.36,120.09,146.51
2/10/2010,272.16,119.52,145.68
2/11/2010,273.93,120.26,146.45
2/12/2010,272.24,119.49,145.48
2/16/2010,277.3,121.72,148.18
2/17/2010,276.61,121.41,147.8
2/18/2010,278.22,122.12,148.66
2/19/2010,282.17,123.85,150.78
2/22/2010,280.33,123.04,149.79
2/23/2010,278.06,122.05,148.58
2/24/2010,278.66,122.26,148.67
2/25/2010,277.88,121.91,148.24
2/26/2010,275.82,121,147.14
3/1/2010,279.48,122.61,149.09
3/2/2010,280.78,123.18,149.78
3/3/2010,280.5,123.06,149.64
3/4/2010,280.77,123.17,149.77
3/5/2010,283.86,124.53,151.42
3/8/2010,284.09,124.57,151.31
3/9/2010,283.31,124.23,150.89
3/10/2010,283.64,124.38,151.07
3/11/2010,284.34,124.68,151.44
3/12/2010,282.39,123.83,150.4
3/15/2010,283.73,124.42,151.12
3/16/2010,286.79,125.75,152.71
3/17/2010,287.79,126.18,153.24
3/18/2010,286.61,125.66,152.57
3/19/2010,286.02,125.4,152.26
3/22/2010,284.23,124.62,151.31
3/23/2010,285.21,125.03,151.78
3/24/2010,282.41,123.8,150.29
3/25/2010,280.48,122.96,149.27
3/26/2010,281.2,123.27,149.65
3/29/2010,284.75,124.8,151.41
3/30/2010,284.3,124.6,151.17
3/31/2010,283.41,124.22,150.7
4/1/2010,287.09,125.83,152.66
4/5/2010,288.69,126.53,153.51
4/6/2010,291.22,127.64,154.85
4/7/2010,288.52,126.45,153.42
4/8/2010,286.99,125.76,152.53
4/9/2010,288.57,126.46,153.37
4/12/2010,289.58,126.9,153.91
4/13/2010,288.54,126.45,153.36
4/14/2010,288.63,126.48,153.41
4/15/2010,288.12,126.26,153.13
4/16/2010,285.01,124.9,151.48
4/19/2010,285.5,125.11,151.74
4/20/2010,288.75,126.53,153.47
4/21/2010,289.19,126.73,153.7
4/22/2010,290.21,127.17,154.24
4/23/2010,292.64,128.24,155.53
4/26/2010,291.5,127.74,154.93
4/27/2010,286.32,125.47,152.18
4/28/2010,289.08,126.67,153.6
4/29/2010,289.51,126.81,153.65
4/30/2010,290.87,127.41,154.37
5/3/2010,294.75,129.11,156.43
5/4/2010,289.37,126.75,153.57
5/5/2010,287.42,125.88,152.44
5/6/2010,279.82,122.52,148.33
5/7/2010,278.15,121.8,147.45
5/10/2010,286.69,125.5,151.84
5/11/2010,287.24,125.74,152.13
5/12/2010,290.08,126.93,153.42
5/13/2010,288.49,126.24,152.58
5/14/2010,286.1,125.19,151.31
5/17/2010,286.36,125.3,151.45
5/18/2010,283.52,124.06,149.95
5/19/2010,281.06,122.95,148.52
5/20/2010,272.04,119.01,143.75
5/21/2010,273.55,119.67,144.55
5/24/2010,271.12,118.61,143.27
5/25/2010,269.25,117.79,142.28
5/26/2010,269.1,117.68,142.05
5/27/2010,274.63,120.1,144.96
5/28/2010,274.56,120.07,144.92
6/1/2010,268.38,117.36,141.65
6/2/2010,274.22,119.9,144.66
6/3/2010,276.9,121.07,146.06
6/4/2010,268.71,117.49,141.74
6/7/2010,270.31,118.16,142.47
6/8/2010,274.06,119.77,144.33
6/9/2010,272.26,118.98,143.38
6/10/2010,279.55,122.17,147.22
6/11/2010,279.49,122.14,147.19
6/14/2010,280.63,122.64,147.79
6/15/2010,286.32,125.12,150.78
6/16/2010,288.07,125.88,151.67
6/17/2010,290.29,126.84,152.8
6/18/2010,290.66,127,152.99
6/21/2010,288.41,126.02,151.81
6/22/2010,281.38,122.93,148.06
6/23/2010,278.4,121.63,146.49
6/24/2010,277.51,121.25,146.02
6/25/2010,278.35,121.61,146.47
6/28/2010,280.49,122.52,147.47
6/29/2010,274.76,120.02,144.46
6/30/2010,272.81,119.17,143.44
7/1/2010,271.93,118.78,142.97
7/2/2010,272.06,118.84,143.04
7/6/2010,275.24,120.22,144.71
7/7/2010,283.82,123.97,149.22
7/8/2010,286.15,124.97,150.37
7/9/2010,287.95,125.76,151.32
7/12/2010,288.89,126.17,151.81
7/13/2010,289.88,126.6,152.33
7/14/2010,290.06,126.68,152.43
7/15/2010,291.86,127.47,153.38
7/16/2010,287.07,125.37,150.86
7/19/2010,291.31,127.23,153.09
7/20/2010,293.76,128.29,154.37
7/21/2010,289.6,126.48,152.19
7/22/2010,294.34,128.55,154.68
7/23/2010,294.61,128.67,154.82
7/26/2010,296.56,129.52,155.84
7/27/2010,301.33,131.6,158.35
7/28/2010,299.78,130.91,157.49
7/29/2010,295.29,128.91,154.95
